	Symbol	Previous Close	Open	Bid	Ask	Day's Range	52 Week Range	Volume	Avg. Volume	Market Cap	Beta	PE Ratio (TTM)	EPS (TTM)	Earnings Date	Forward Dividend & Yield	Ex-Dividend Date	1y Target Est
1	ABMD	286.39	285.78	280.00 x 400	300.00 x 100	282.12 - 290.88	117.37 - 304.28	491,287	406,403	12.574B	-0.18	142.49	1.99	May 2, 2018 - May 7, 2018	N/A (N/A)	N/A	281.22
1	BABA	184.65	186.85	0.00 x 0	0.00 x 0	180.40 - 188.48	106.51 - 206.20	18,714,404	20,413,570	465.59B	2.70	44.56	4.07	May 16, 2018 - May 21, 2018	N/A (N/A)	N/A	222.80
1	NCZ	6.00	5.95	0.00 x 0	0.00 x 0	5.93 - 6.00	5.70 - 6.49	211,953	263,127	442.07M	N/A	3.06	N/A	N/A	N/A (N/A)	N/A	N/A
1	GOOGL	1,053.15	1,051.37	1,027.01 x 100	1,029.50 x 100	1,024.87 - 1,066.78	824.30 - 1,198.00	2,493,971	2,079,331	712.596B	1.23	57.04	18.00	Apr 23, 2018	N/A (N/A)	N/A	1,280.93
1	MO	60.39	60.67	0.00 x 0	0.00 x 0	59.07 - 60.75	59.07 - 77.79	7,997,234	8,136,142	112.64B	0.57	11.16	5.31	Apr 26, 2018	2.80 (4.64%)	N/A	77.46
1	AMZN	1,544.92	1,539.01	1,493.60 x 200	1,496.90 x 200	1,495.36 - 1,549.02	833.50 - 1,617.54	8,006,033	5,474,675	724.011B	1.71	243.18	6.15	Apr 25, 2018 - Apr 30, 2018	N/A (N/A)	N/A	1,670.66
1	AME	76.18	76.40	0.00 x 0	0.00 x 0	74.53 - 76.82	52.42 - 79.32	931,622	1,153,486	17.26B	0.95	25.38	2.94	Apr 30, 2018 - May 4, 2018	0.56 (0.74%)	N/A	84.08
1	AMGN	176.08	176.57	169.43 x 100	171.10 x 100	169.35 - 176.99	152.16 - 201.23	4,529,564	5,060,788	122.085B	1.64	62.99	2.69	Apr 24, 2018 - Apr 30, 2018	5.28 (3.00%)	2018-05-16	195.70
1	AIV	39.11	39.14	0.00 x 0	0.00 x 0	38.40 - 39.35	37.97 - 46.72	1,345,789	1,178,072	6.369B	0.79	19.70	1.96	Apr 25, 2018 - Apr 30, 2018	1.52 (3.78%)	N/A	44.79
1	APO	30.52	30.51	0.00 x 0	0.00 x 0	30.04 - 30.92	22.91 - 37.35	2,280,263	1,040,554	12.344B	1.41	9.72	3.10	Apr 26, 2018 - Apr 30, 2018	2.06 (6.75%)	N/A	40.79
1	AAPL	168.85	168.39	165.15 x 100	165.20 x 500	164.94 - 169.92	138.62 - 183.50	41,028,784	36,711,454	836.907B	1.08	17.00	9.70	Apr 30, 2018 - May 4, 2018	2.52 (1.49%)	N/A	192.49
1	APTV	83.79	83.81	0.00 x 0	0.00 x 0	81.14 - 85.36	61.53 - 96.91	2,070,633	1,610,118	21.573B	1.53	16.05	5.06	May 1, 2018 - May 8, 2018	0.88 (1.05%)	N/A	103.62
1	ATHN	141.56	141.97	91.70 x 100	156.00 x 2500	139.04 - 143.13	95.01 - 158.66	216,826	479,486	5.584B	0.85	106.31	1.31	Apr 25, 2018 - Apr 30, 2018	N/A (N/A)	N/A	148.29
1	AN	47.10	47.23	0.00 x 0	0.00 x 0	46.38 - 47.87	38.20 - 62.02	875,398	925,763	4.263B	1.46	10.49	4.43	Apr 23, 2018 - Apr 27, 2018	N/A (N/A)	N/A	58.11
1	BAX	65.55	65.55	0.00 x 0	0.00 x 0	64.18 - 66.03	51.39 - 72.58	2,419,944	3,202,822	34.726B	1.04	49.95	1.29	Apr 26, 2018	0.64 (0.98%)	N/A	75.87
1	BDC	69.99	69.81	0.00 x 0	0.00 x 0	64.51 - 70.19	64.51 - 87.15	1,225,920	368,486	2.707B	2.50	47.12	1.37	May 1, 2018 - May 7, 2018	0.20 (0.27%)	N/A	89.70
1	BMS	43.08	43.16	0.00 x 0	0.00 x 0	42.53 - 43.47	40.60 - 50.47	605,263	575,408	3.87B	0.75	41.71	1.02	Apr 26, 2018	1.24 (2.76%)	N/A	48.31
1	BKH	53.03	53.05	0.00 x 0	0.00 x 0	51.83 - 53.68	50.49 - 72.02	490,811	802,257	2.787B	0.21	16.20	3.21	May 1, 2018 - May 7, 2018	1.90 (3.58%)	N/A	58.29
1	BX	32.49	32.45	0.00 x 0	0.00 x 0	31.62 - 32.53	28.85 - 37.52	8,658,569	5,740,995	37.876B	1.52	14.43	2.21	Apr 19, 2018	3.40 (10.46%)	N/A	41.42
1	BSX	26.94	27.00	0.00 x 0	0.00 x 0	26.27 - 27.21	24.12 - 29.93	7,242,832	8,001,695	36.16B	0.96	346.05	0.08	Apr 25, 2018 - Apr 30, 2018	N/A (N/A)	N/A	31.63
1	BRKS	29.05	29.23	9.70 x 100	34.00 x 1000	27.78 - 29.64	20.63 - 34.77	733,698	911,996	1.957B	1.03	30.20	0.92	Apr 25, 2018 - Apr 30, 2018	0.40 (1.38%)	N/A	35.29
1	BC	59.78	60.01	0.00 x 0	0.00 x 0	58.73 - 60.05	48.04 - 64.45	631,658	902,885	5.138B	1.98	36.17	1.63	Apr 25, 2018 - Apr 30, 2018	0.76 (1.27%)	N/A	69.69
1	CPT	82.03	81.99	0.00 x 0	0.00 x 0	80.81 - 82.45	78.19 - 96.39	467,924	639,536	7.697B	0.53	38.09	2.13	May 2, 2018 - May 7, 2018	3.08 (3.75%)	2018-03-28	92.33
1	CRS	44.02	44.52	0.00 x 0	0.00 x 0	42.72 - 44.86	34.24 - 54.61	632,345	428,778	2.006B	1.78	12.59	3.40	Apr 25, 2018 - Apr 30, 2018	0.72 (1.64%)	N/A	54.33
1	CASS	60.40	60.50	0.00 x 100	64.00 x 100	58.21 - 60.50	53.23 - 65.00	38,972	26,965	715.215M	0.50	28.96	2.01	Apr 25, 2018 - Apr 30, 2018	0.96 (1.59%)	N/A	N/A
